Cust_No,Target,Birth_Place,Gender,Age,Ast_Curr_Bal,Std_Cred_Limit,Loan_Curr_Bal,ZX_Max_Account_Number,ZX_Max_Link_Banks,ZX_Max_Overdue_Account,ZX_Link_Max_Overdue_Amount,ZX_Total_Overdu_Months,ZX_Max_Overdue_Duration,ZX_Max_Credits,ZX_Max_Credit_Banks,ZX_Max_Overdue_Credits,ZX_Credit_Max_Overdu_Amount,ZX_Credit_Total_Overdue_Months,ZX_Credit_Max_Overdue_Duration
1576,0,410724,0,27,1.5,15000,0,18,11,7,613,5,3,5,5,4,2107,4,2
1577,0,330124,0,50,680.68,20000,0,17,9,3,295,6,1,0,0,0,0,0,0
1578,0,330121,1,45,30125.85,10000,0,3,3,0,0,0,0,0,0,0,0,0,0
1579,0,330621,1,33,80.42,2000,280000,10,7,7,1840,58,3,1,1,0,0,0,0
1580,0,330621,1,51,53601.2,10000,0,8,6,1,282,1,1,0,0,0,0,0,0
1581,0,330621,1,34,1095.28,20000,0,10,7,1,1998,1,1,2,2,0,0,0,0
1582,0,330621,1,31,3.42,5000,90000,6,5,5,3122,32,3,3,3,0,0,0,0
1583,0,330621,1,44,221.04,20000,600000,6,5,1,92,2,1,5,4,2,6337,5,1
1584,0,330621,1,44,100800.29,20000,900000,10,8,1,178,3,1,2,2,0,0,0,0
1585,0,330621,1,42,90767.84,20000,0,8,3,3,373,9,1,0,0,0,0,0,0
1586,0,330621,1,53,94.8,5000,250000,4,3,3,1000,9,2,1,1,0,0,0,0
1587,0,330621,1,56,6645.75,10000,600000,8,7,2,235,4,1,2,1,0,0,0,0
1588,0,330621,1,53,2686.9,20000,600000,5,4,0,0,0,0,3,2,2,3295,4,1
1589,0,340603,1,36,353.27,5000,227899.14,10,6,3,200,3,1,0,0,0,0,0,0
1590,0,330621,1,36,9333.34,5000,0,2,2,1,0,16,1,0,0,1,2506824,8,1
1591,0,330621,1,36,19338.95,30000,1500000,4,3,0,0,0,0,4,4,1,7650,12,1
1592,0,330621,1,51,126.23,5000,52797.51,12,7,1,74,1,1,3,3,0,0,0,0
1593,0,330621,1,49,3813.91,20000,0,7,4,3,2002,6,1,3,3,1,0,1,1
1594,0,330621,1,29,1.22,10000,800000,1,1,0,0,0,0,1,1,0,0,0,0
1595,0,330121,0,57,371.12,20000,0,3,2,2,1798,6,1,2,2,2,3532,6,1
1596,0,330621,1,46,914.97,20000,800000,5,3,2,2160,12,1,1,1,0,0,0,0
1597,0,330621,1,47,0,50000,0,7,4,0,0,0,0,0,0,0,0,0,0
1598,0,330621,1,38,522,20000,0,17,12,2,0,2,1,2,2,0,0,0,0
1599,0,332602,1,42,95.16,10000,0,4,3,0,0,0,0,2,2,0,0,0,0
1600,0,330621,1,38,1307.26,5000,774333.18,3,3,0,0,0,0,2,1,0,0,0,0
1601,0,330621,1,43,14817.66,10000,600000,3,3,0,0,0,0,4,2,0,0,0,0
1602,0,330621,0,49,0,10000,0,1,1,0,0,0,0,0,0,0,0,0,0
1603,0,330621,1,47,392.44,20000,900000,5,4,2,163,3,1,0,0,0,0,0,0
1604,0,330621,0,36,165.21,7000,0,6,5,5,1525,22,3,0,0,0,0,0,0
1605,0,330621,1,33,46704,15000,0,1,1,0,0,0,0,0,0,0,0,0,0
1606,0,330621,1,52,820.63,10000,400000,7,5,5,3092,32,2,4,4,0,0,0,0
1607,0,330621,1,46,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,0,330621,1,41,17.65,10000,600000,8,6,2,3,4,1,3,3,1,348,2,1
1609,0,330621,1,56,601.03,10000,600000,4,3,0,0,0,0,1,1,0,0,0,0
1610,0,330621,1,56,246.67,5000,65000,1,1,0,0,0,0,1,1,0,0,0,0
1611,0,330621,1,46,1225.36,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
1612,0,330621,1,53,2590.9,20000,1200000,10,6,3,317,15,1,1,1,0,0,0,0
1613,0,330621,1,30,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,0,330621,1,32,6949.07,20000,400000,5,5,1,33,4,1,2,2,0,0,0,0
1615,0,330328,1,49,3863.86,26000,0,6,4,0,0,0,0,2,2,2,2126,2,1
1616,0,330621,1,48,162957.06,20000,0,2,2,0,0,0,0,1,1,0,0,0,0
1617,0,330621,1,34,37060.77,2000,1200000,3,3,0,0,0,0,3,1,0,0,0,0
1618,0,330621,1,49,268.44,10000,148648.75,4,3,1,190,1,1,1,1,0,0,0,0
1619,0,330602,1,33,0.01,5000,0,2,2,0,0,0,0,0,0,0,0,0,0
1620,0,330621,1,30,38528.3,10000,150000,14,5,0,0,0,0,1,1,0,0,0,0
1621,0,330621,1,41,50.71,10000,270000,2,2,2,1020,11,2,2,2,1,734,4,3
1622,0,330621,1,39,1823.27,10000,0,6,4,0,0,0,0,2,2,0,0,0,0
1623,0,330621,1,49,5484.01,8000,1100000,2,2,1,2,4,1,2,2,0,0,0,0
1624,0,220281,0,46,103.91,10000,25931.22,1,1,0,0,0,0,1,1,0,0,0,0
1625,0,330621,1,26,49.86,20000,150000,6,5,0,0,0,0,0,0,0,0,0,0
